time(ms),brdneighborhoodbytes,brdtrajincellbytes,ntransactions,intable,minsize,minsup,nitemsets,storagethr,repfreq,limit,nexecutors,ncores,maxram,timescale,bint,epst,bins,epss,exploredpatterns,exploredpatterns2,accmlen,accmcrd,accmsup,semf
42494,0,265732,3576,trajectory.oldenburg_standard_2000_distinct,10,20,2294,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,76230,159822576,0.0,0.0,0.0,
40949,0,272116,3639,trajectory.oldenburg_standard_2000_distinct,10,15,8566,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,77804,165735572,0.0,0.0,0.0,
40890,0,274468,3659,trajectory.oldenburg_standard_2000_distinct,10,10,25778,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,78153,166641332,0.0,0.0,0.0,
39559,0,275526,3674,trajectory.oldenburg_standard_2000_distinct,10,5,58407,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,78220,167534559,0.0,0.0,0.0,
87938,0,1071410,60,trajectory.milan_standard,100,12,229980,1000000,1,6000000,10,2,8g,NoScale,1,Infinity,16,Infinity,3368744,25964250,0.3181020056423737,0.8170713962467624,0.306229411594789,
916161,0,4756880,357,trajectory.milan_standard,100,12,124,1000000,1,6000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,4607230,296912796,0.08275173158923066,0.9843582423439912,0.6906554306942029,
97044,1496,1071410,60,trajectory.milan_standard,100,12,96825,1000000,1,6000000,10,2,8g,NoScale,1,Infinity,16,1.0,1959677,20977047,0.5352728150916571,0.8168611149128855,0.29434753137560304,
2090726,285960,24372576,1791,trajectory.oldenburg_standard,500,12,0,1000000,1,1000000,10,2,8g,AbsoluteScale,6,5.0,19,Infinity,2540393,2985699042,0.0,0.0,0.0,
2128951,771366,24338536,1769,trajectory.oldenburg_standard,525,12,16390,1000000,1,1000000,10,2,8g,AbsoluteScale,6,6.0,19,Infinity,2330313,2678285691,0.0,0.0,0.0,
1936366,761494,24321596,1755,trajectory.oldenburg_standard,550,12,14149,1000000,1,1000000,10,2,8g,AbsoluteScale,6,6.0,19,Infinity,2121514,2417311658,0.0,0.0,0.0,
1690591,749448,24295890,1738,trajectory.oldenburg_standard,575,12,12131,1000000,1,1000000,10,2,8g,AbsoluteScale,6,6.0,19,Infinity,1936467,2184727089,0.0,0.0,0.0,
222530,268256,45894,536,trajectory.hermopoulis_standard1_200,10,20,853,1000000,1,1000000,10,2,8g,AbsoluteScale,60,Infinity,19,Infinity,5018227,2068013139,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
217584,268256,45894,536,trajectory.hermopoulis_standard1_200,10,19,2980,1000000,1,1000000,10,2,8g,AbsoluteScale,60,Infinity,19,Infinity,5018228,2068013164,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
220795,268256,45894,536,trajectory.hermopoulis_standard1_200,10,18,8709,1000000,1,1000000,10,2,8g,AbsoluteScale,60,Infinity,19,Infinity,5018228,2068013164,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
