time(ms),brdneighborhoodbytes,brdtrajincellbytes,ntransactions,intable,minsize,minsup,nitemsets,storagethr,repfreq,limit,nexecutors,ncores,maxram,timescale,bint,epst,bins,epss,exploredpatterns
2071247,0,28975144,1825,trajectory.oldenburg_standard,500,6,1831472,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,19,Infinity,2901480
1755435,0,23953526,1791,trajectory.oldenburg_standard,500,12,65218,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,19,Infinity,2569779
1722081,0,23953522,1791,trajectory.oldenburg_standard,500,12,65218,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,19,Infinity,2569779
1636363,0,23953524,1791,trajectory.oldenburg_standard,500,12,65218,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,19,Infinity,2569779
1059532,0,19972458,1726,trajectory.oldenburg_standard,500,12,31124,1000000,1,500000,10,2,8g,AbsoluteScale,6,Infinity,19,Infinity,1718721
12156,0,3616136,975,trajectory.oldenburg_standard,500,12,0,1000000,1,100000,10,2,8g,AbsoluteScale,6,Infinity,19,Infinity,30899
11952376,0,23953522,1791,trajectory.oldenburg_standard,500,12,65218,1000000,1,1000000,1,2,8g,AbsoluteScale,6,Infinity,19,Infinity,2569779
4333211,0,23953526,1791,trajectory.oldenburg_standard,500,12,65218,1000000,1,1000000,3,2,8g,AbsoluteScale,6,Infinity,19,Infinity,2569779
2444008,0,23953526,1791,trajectory.oldenburg_standard,500,12,65218,1000000,1,1000000,6,2,8g,AbsoluteScale,6,Infinity,19,Infinity,2569779
1809766,0,23953526,1791,trajectory.oldenburg_standard,500,12,65248,1000000,1,1000000,10,2,2g,AbsoluteScale,6,Infinity,19,Infinity,2613533
1568228,0,23953522,1791,trajectory.oldenburg_standard,500,12,65218,1000000,1,1000000,10,2,4g,AbsoluteScale,6,Infinity,19,Infinity,2569779
1648021,0,23953524,1791,trajectory.oldenburg_standard,500,12,65218,1000000,1,1000000,10,2,6g,AbsoluteScale,6,Infinity,19,Infinity,2569779
5624,808,553640,90,trajectory.oldenburg_standard,450,12,0,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,19,1.0,12377
6296,808,555216,91,trajectory.oldenburg_standard,400,12,0,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,19,1.0,13977
5815,808,557886,94,trajectory.oldenburg_standard,100,12,0,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,19,1.0,43858
6949,854,608460,102,trajectory.oldenburg_standard,100,12,0,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,18,1.0,80915
7669,1862,608460,102,trajectory.oldenburg_standard,100,12,0,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,18,2.0,131368
15727,8356,557886,94,trajectory.oldenburg_standard,100,12,670,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,19,5.0,76730
8963,7606,551998,89,trajectory.oldenburg_standard,500,12,12,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,19,5.0,15967
1701540,285960,23953524,1791,trajectory.oldenburg_standard,500,12,0,1000000,1,1000000,10,2,8g,AbsoluteScale,6,5.0,19,Infinity,2471562
1634656,784370,23953522,1791,trajectory.oldenburg_standard,500,12,19361,1000000,1,1000000,10,2,8g,AbsoluteScale,6,10.0,19,Infinity,2569693
