dataset,mincoh,minsize,minsup,iterations,itemsets,time(ms),customtime,cellsize,eps,repartition,disabledpruning,storagethr,nexecutor,ncore,maxram,weeklyscale,timebucketthreshold,totalcells
geolife,0.0,5,15,655765,54831,17567, 50759,10,5.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,1674
geolife,0.0,5,15,1047051,79357,20198, 43887,10,10.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,1674
geolife,0.0,5,15,970430,86564,13527, 36675,10,Infinity,1,true,10000000,9,3,12g,NoTimeScale,Infinity,1674
geolife,0.0,5,15,6271,9,2615, 4634,50,2.0,1,true,10000000,9,3,12g,DailyScale,1.0,1663
geolife,0.0,5,15,13548,58,4078, 5583,50,2.0,1,true,10000000,9,3,12g,DailyScale,2.0,1663
geolife,0.0,5,15,80167,271,7032, 8688,50,2.0,1,true,10000000,9,3,12g,DailyScale,Infinity,1663
geolife,0.0,5,15,6675,9,2888, 5204,50,5.0,1,true,10000000,9,3,12g,DailyScale,1.0,1663
geolife,0.0,5,15,14268,58,3297, 6154,50,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,1663
geolife,0.0,5,15,61765,271,7143, 13476,50,5.0,1,true,10000000,9,3,12g,DailyScale,Infinity,1663
geolife,0.0,5,15,6677,9,2675, 4963,50,10.0,1,true,10000000,9,3,12g,DailyScale,1.0,1663
geolife,0.0,5,15,14278,58,3972, 7068,50,10.0,1,true,10000000,9,3,12g,DailyScale,2.0,1663
geolife,0.0,5,15,46698,271,6252, 11952,50,10.0,1,true,10000000,9,3,12g,DailyScale,Infinity,1663
geolife,0.0,5,15,6677,9,3004, 5920,50,Infinity,1,true,10000000,9,3,12g,DailyScale,1.0,1663
geolife,0.0,5,15,14278,58,3209, 6858,50,Infinity,1,true,10000000,9,3,12g,DailyScale,2.0,1663
geolife,0.0,5,15,46697,271,4689, 10468,50,Infinity,1,true,10000000,9,3,12g,DailyScale,Infinity,1663
geolife,0.0,5,15,838,0,1441, 2982,50,2.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,605
geolife,0.0,5,15,838,0,1163, 2780,50,2.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,605
geolife,0.0,5,15,838,0,1051, 3310,50,2.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,605
geolife,0.0,5,15,877,0,918, 3056,50,5.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,605
geolife,0.0,5,15,866,0,1410, 3967,50,5.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,605
geolife,0.0,5,15,866,0,1219, 3184,50,5.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,605
